Sighting Identifier (entry #),date and time reported,date observed,County,City,North or South,Habitat,firefly count (estimate),Sighting Notes
499,06/12/2021 - 10:31pm,6/12/2021,Rich,Garden city,north,Marsh,5,Hundreds of them
28,04/30/2015 - 9:04pm,7/3/2014,Beaver,beaver,south,marsh/slough/pasture,3,not as many last year as year before
12,07/22/2014 - 6:31pm,7/6/2014,Box Elder,Willard,north,Pond/Creek with trees and grassy area,3,The people who took us to see them stated they were more prevalent with much more blinking earlier in the summer.
19,04/30/2015 - 9:22am,6/27/2014,Box Elder,Perry,north,wetland,2,"Was in 2012 on a run late at night, 100 percent sure it was fireflys"
43,06/13/2015 - 1:01am,6/18/2014,Box Elder,Brigham city,north,grassy field near small irrigation ditch,10,
103,07/13/2015 - 11:57am,6/19/2015,Box elder,bear river city and Tremonton,north,bird refuge/ marshes,9,
162,06/20/2016 - 10:44pm,6/20/2016,Box Elder,Perry,north,Pasture,15,
209,06/19/2017 - 10:39pm,6/19/2017,Box Elder,Brigham City,north,Pasture/wet meadow,2,Fairly high number of fireflies.
211,06/21/2017 - 5:46pm,6/20/2017,Box Elder,Perry,north,Marshy pond behind house,10,Power was out at my house sat outside to look at stars and seen them 
219,06/25/2017 - 12:10am,6/21/2017,Box Elder,Brigham city,north,Pature,20,"seen some just to the south east of this location about 400 south 1000 west, going to try looking earlier in the evening. "
250,06/01/2018 - 12:21am,5/31/2018,Box elder,Brigham,north,Pasture and farm,1,They were right on the brush that lines the sidewalks and street. Some flew onto street and fortunetly were not hit by cars
258,06/03/2018 - 11:03pm,6/1/2018,box elder,perry,north,wetland/pasture,15,"We saw hundreds in the field, I haven't seen that many in utah."
362,06/13/2019 - 1:43am,6/12/2019,Box Elder,Brigham City,north,Marsh/Pasture,25,"No actual CROSS street, just roughly 400 N. on 900 W. West side of 900 W."
451,06/27/2020 - 10:22pm,6/27/2020,Box Elder,Mantua,north,Marsh pasture,50,
462,07/06/2020 - 4:39am,7/6/2020,Box Elder,Mantua,north,Orchard,3,
519,06/21/2021 - 11:04pm,6/21/2021,Box Elder,Brigham City,north,Marsh pasture,30,
598,06/18/2022 - 7:46pm,6/17/2022,Box elder,Brigham city,north,Pasture,10,
23,04/30/2015 - 4:52pm,6/4/2014,Cache,Nibley,north,Wetland,3,It was actually in 2010 but that wasn't an option. We moved since then!
40,06/12/2015 - 12:33pm,6/11/2015,Cache,Mendon,north,Pasture,20,I only saw two but every year there are a lot more. It is either the end or the start of them coming out
44,06/13/2015 - 1:58pm,6/11/2015,Cache,Nibley,north,Marsh,7,We saw the fireflies cover about one acre of the marsh.
46,06/16/2015 - 8:14am,6/15/2015,Cache,Nibley,north,Marsh,20,"At first there were not many, just a flicker here and there. But by 10:00pm, there were hundreds."
48,06/19/2015 - 6:10am,6/17/2015,Cache,Nibley,north,Wetland,100,"Our goal is to protect these fireflies, not have an entomologist add to a collection. Hence I did not list the exact address."
74,07/12/2015 - 9:55pm,6/25/2015,Cache,Nibley,north,Wetland,2,Over 100 in a combination wetland-pastureland. We are going to protect this area as a City Nature Park. Contact me.
87,07/12/2015 - 11:26pm,7/11/2015,Cache,Mendon,north,Marsh/pasture,5,I've seen them for years. Sometimes there are more blinks and more flies than other times.
204,06/17/2017 - 11:33pm,6/17/2017,Cache,Nibbley,north,Feild,2,
