firefly count (estimate),North or South
5,north
3,south
3,north
2,north
10,north
9,north
15,north
2,north
10,north
20,north
1,north
15,north
25,north
50,north
3,north
30,north
10,north
3,north
20,north
7,north
20,north
100,north
2,north
5,north
2,north
5,north
2,north
4,north
5,north
3,north
1,north
2,north
3,north
2,north
3,north
10,north
4,north
15,north
2,north
1,north
10,north
1,north
3,north
7,north
21,north
4,north
3,south
45,south
3,north
2,north
2,north
4,north
3,north
2,north
8,north
2,north
2,north
1,north
3,north
2,north
1,north
2,north
2,north
3,north
1,north
2,north
20,north
2,north
15,north
2,north
2,north
3,north
15,north
5,north
20,north
5,north
10,north
5,south
2,south
4,south
20,south
100,south
2,south
1,south
2,south
2,south
8,south
24,south
5,south
15,south
1,south
3,south
2,south
10,south
2,south
6,south
6,south
1,south
3,south
4,south
100,south
3,south
50,south
7,south
4,south
2,north
3,north
20,north
25,north
3,north
1,north
20,north
4,north
4,north
4,north
5,north
5,north
2,north
2,north
1,north
3,north
5,north
2,north
4,north
1,north
4,north
12,north
2,north
2,north
4,north
2,north
2,north
1,north
4,north
5,north
10,north
3,north
2,north
20,north
5,north
3,north
10,north
5,north
2,north
2,north
2,north
1,north
1,north
8,north
2,south
15,south
1,south
50,south
6,south
1,south
4,south
2,south
2,south
3,south
10,south
5,south
1000,south
1000,south
20,south
12,north
5,north
7,north
3,north
6,north
8,north
4,north
5,north
3,north
6,north
20,north
3,north
1,north
2,north
3,north
3,north
2,north
6,north
100,north
2,north
15,north
6,north
50,north
2,north
100,north
50,north
3,north
3,north
3,north
3,north
3,north
3,north
8,north
3,north
3,north
3,north
20,north
8,north
1,north
4,north
3,north
4,north
2,north
8,north
3,north
3,north
2,north
2,north
10,north
7,north
1,north
4,north
2,north
,north
1,north
10,north
30,north
4,north
3,north
2,north
3,north
5,north
5,north
100,north
30,north
2,north
1,north
1,north
3,north
2,north
20,north
3,north
3,north
3,north
3,north
100,north
100,north
25,north
3,south
5,north
30,north
2,north
1,north
2,north
32,north
40,north
30,north
1,north
2,north
2,north
2,north
1,north
5,north
3,north
10,north
4,north
15,north
50,north
50,north
6,north
3,north
6,north
3,north
10,north
5,north
4,north
1,north
5,north
2,north
5,north
15,north
2,north
1,north
5,north
3,north
1,north
20,north
7,north
3,north
2,north
3,north
3,north
2,north
2,north
1,north
5,north
5,north
40,north
2,north
10,north
2,north
20,north
2,north
30,north
6,north
6,north
1,north
2,north
2,north
4,north
3,north
3,north
2,north
1,north
20,north
76,north
50,north
20,north
100,north
50,north
2,north
3,north
3,north
5,north
2,north
300,north
100,north
20,north
100,north
100,north
2,north
5,north
4,north
1,north
3,north
5,north
1,north
15,north
6,north
6,north
10,north
30,north
8,north
5,north
15,north
5,north
5,north
5,north
5,north
1,north
25,north
25,north
6,north
15,north
14,north
2,north
3,north
1,north
4,north
30,north
10,north
25,north
4,north
5,north
5,north
4,north
10,north
40,north
40,north
50,north
12,north
1,north
4,north
3,north
5,north
3,north
2,north
5,north
50,north
2,north
30,north
2,north
15,north
4,north
1,north
5,north
5,north
2,north
20,north
5,north
5,north
3,north
2,north
2,north
2,north
3,north
6,north
1,north
3,north
2,north
1,north
3,north
200,north
5,north
2,north
4,north
6,north
5,north
1,south
1,south
1,south
10,north
1,north
1,north
3,north
4,north
4,north
7,north
10,north
10,north
4,north
20,north
3,north
3,north
5,north
3,north
6,north
40,north
2,north
20,north
1000,north
1,north
2,north
3,north
2,north
15,north
5,north
2,north
5,north
4,south
8,south
6,north
50,north
10,north
1,north
7,north
2,north
2,south
2,north
25,south
6,north
30,north
15,north
4,north
7,north
4,north
5,north
20,north
2,north
2,south
1,north
4,north
1,
5,south
2,south
3,north
5,north
5,north
5,north
5,north
10,north
3,north
10,north
2,north
5,north
3,north
2,north
2,south
5,north
2,north
6,south
6,north
10,north
2,north
3,north
1,south
5,north
4,north
150,north
2,north
50,north
30,north
9,north
15,north
3,north
2,north
2,south
1,north
2,north
3,north
8,north
3,north
3,
